N,question,contexts,answer
1,"Что будет, если зайти в корпус МИФИ по чужому пропуску? И можно ли провести с собой в университет друга/родителей, если у них нет пропуска?",«Передавать свой пропуск (разрешать по нему проход) другим лицам СТРОГО ЗАПРЕЩЕНО!» (стр. 1),Передавать свой пропуск другим людям нельзя. По правилам университета это строго запрещено. Поэтому проходить в университет по чужому пропуску или проводить по нему другого человека нельзя.
2,Разрешено ли находиться в вузе ночью?,«Находиться на территории НИЯУ МИФИ разрешено с 6:00 до 22:00.» (стр. 1),На территории университета можно находиться с 6:00 до 22:00. После этого времени находиться в корпусах университета нельзя.
3,"Можно ли проносить в университет алкоголь или, допустим, что-то «для праздника» в общагу?",«Проносить на территорию университета … наркотики и алкоголь СТРОГО ЗАПРЕЩЕНО!» (стр. 2),Нет. Проносить алкоголь на территорию университета запрещено. Это правило распространяется на все корпуса университета.
4,"Если я что-то сломал в аудитории случайно (оборудование, мебель), кто несёт ответственность и что обычно происходит дальше?",,"Отдельного правила о том, что делать в такой ситуации, не указано. В таких случаях лучше сразу сообщить преподавателю или сотруднику университета, который отвечает за аудиторию."
5,Есть ли ограничения на фото/видеосъёмку в университете?,,"Отдельных правил про фото или видеосъёмку здесь не указано. Если нужно что-то снимать в корпусе или на занятии, лучше уточнить у преподавателя или сотрудников университета."
6,"Если я хочу заниматься ядерной физикой, мне в ИЯФИТ или есть ещё профильные институты?",«…инженерно-технической и инновационной деятельности в области ядерных технологий…» (стр. 3) «Институт астрофизики; Институт промышленных ядерных технологий;» (стр. 4),"Да, для ядерной физики подходит ИЯФиТ. Ещё есть направления рядом - например, Институт астрофизики и Институт промышленных ядерных технологий."
7,За что отвечает ЛаПлаз и чем он отличается от ИНТЭЛ?,"«…создание новых плазменных, лазерных, нано- и биотехнологий.» (стр. 4) «…развитием технологий в направлениях: функциональная наноэлектроника, технологии квантовых вычислительных систем, интегральная радиофотоника, физика и технология наноматериалов.» (стр. 7)","ЛаПлаз — это больше про лазеры, плазму и технологии на стыке физики/технологий. ИНТЭЛ — больше про наноэлектронику, квантовые системы, радиофотонику и наноматериалы."
8,"Где учатся те, кто хочет в биомедицину - это ИФИБ?","«…исследования … в области … ядерной медицины и нанотехнологий, биомедицины.» (стр. 6)","Да, биомедицина - это ИФИБ. Там как раз направления про биомедицину и ядерную медицину."
9,Чем занимается ИОПП и все ли студенты через него проходят?,«…фундаментальная базовая подготовка студентов…» (стр. 14),"ИОПП отвечает за базовую подготовку (фундаментальную). Про то, что все студенты обязательно “проходят через ИОПП”, прямого правила нет."
10,Кто решает вопросы по учебному процессу: деканат института или есть ещё какие-то структуры выше?,«…следует обратиться … в комиссию по урегулированию споров между участниками образовательных отношений.» (стр. 23),Если это спор с преподавателем или серьёзный конфликт по учебному процессу - есть комиссия по урегулированию споров. Обычные вопросы по учёбе чаще решают через учебный отдел/деканат своего института.
